id,name,player_link,team,team_link,age,number,position,height,weight,last_attended,country,birth_date,experience,draft
98,"Nicolas Claxton",https://www.nba.com/player/1629651/nicolas-claxton/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,21,"33 ",Forward-Center,2,98,Georgia,USA,1999-04-17,1,"2019 R2 Pick 31"
99,"Amir Coffey",https://www.nba.com/player/1629599/amir-coffey/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,23,"7 ",Guard-Forward,2,95,Minnesota,USA,1997-06-17,1,Undrafted
100,"John Collins",https://www.nba.com/player/1628381/john-collins/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,23,"20 ",Forward-Center,2,107,"Wake Forest",USA,1997-09-23,3,"2017 R1 Pick 19"
101,"Zach Collins",https://www.nba.com/player/1628380/zach-collins/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,23,"33 ",Forward-Center,2,113,Gonzaga,USA,1997-11-19,3,"2017 R1 Pick 10"
102,"Mike Conley",https://www.nba.com/player/201144/mike-conley/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,33,"10 ",Guard,2,79,"Ohio State",USA,1987-10-11,13,"2007 R1 Pick 4"
103,"Pat Connaughton",https://www.nba.com/player/1626192/pat-connaughton/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,28,"24 ",Guard,2,95,"Notre Dame",USA,1993-01-06,5,"2015 R2 Pick 41"
104,"Quinn Cook",https://www.nba.com/player/1626188/quinn-cook/,NULL,NULL,28,NULL,Guard,2,82,Duke,USA,1993-03-23,4,Undrafted
105,"Tyler Cook",https://www.nba.com/player/1629076/tyler-cook/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,23,"25 ",Forward,2,116,Iowa,USA,1997-09-23,1,Undrafted
106,"DeMarcus Cousins",https://www.nba.com/player/202326/demarcus-cousins/,NULL,NULL,30,NULL,Center,2,122,Kentucky,USA,1990-08-13,9,"2010 R1 Pick 5"
107,"Robert Covington",https://www.nba.com/player/203496/robert-covington/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,30,"23 ",Forward,2,95,"Tennessee State",USA,1990-12-14,7,Undrafted
